strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,sample_count,data_source,lab_sources
Pineapple Chunk,4.2,0.15,0.1,0.0034,0.0018,0.0085,0.0114,0.0034,0.0066,0.0023,0.0,34,Lab-Aggregated (34 samples),"Analytical 360, PSI Labs, SC Labs"
Tangerine Dream,5.8,0.15,0.37,0.0041,0.0119,0.0036,0.0125,0.0044,0.0045,0.0008,0.0,34,Lab-Aggregated (34 samples),"Analytical 360, PSI Labs"
Sour OG,2.1,0.1,0.08,0.0023,0.0008,0.0047,0.0078,0.0057,0.0115,0.0005,0.0,34,Lab-Aggregated (34 samples),"Analytical 360, PSI Labs, SC Labs"
Grape God,3.1,0.2,0.1,0.0059,0.002,0.0082,0.0123,0.0039,0.0047,0.0011,0.0001,34,Lab-Aggregated (34 samples),Analytical 360
Sensi Star,1.4,0.14,0.12,0.0091,0.0083,0.008,0.0116,0.0059,0.0089,0.01,0.04,34,Lab-Aggregated (34 samples),"Analytical 360, PSI Labs"
Chem Dawg,4.4,0.1,0.02,0.0046,0.0051,0.0076,0.0041,0.0041,0.0091,0.0017,0.0,33,Lab-Aggregated (33 samples),"Analytical 360, PSI Labs, SC Labs"
LSD,2.8,0.16,0.08,0.0025,0.0033,0.0059,0.0032,0.0026,0.0053,0.0042,0.0,33,Lab-Aggregated (33 samples),"Analytical 360, PSI Labs, SC Labs"
Skywalker OG,3.8,0.04,0.03,0.0075,0.0036,0.0049,0.0086,0.0038,0.0064,0.0004,0.0001,33,Lab-Aggregated (33 samples),"Analytical 360, PSI Labs, SC Labs"
Snoop’s Dream,1.6,0.15,0.04,0.0046,0.0022,0.0047,0.0036,0.0062,0.0042,0.0011,0.0,33,Lab-Aggregated (33 samples),Analytical 360
Purple Diesel,1.2,0.16,0.14,0.0062,0.0025,0.0049,0.008,0.0063,0.0095,0.0003,0.0,32,Lab-Aggregated (32 samples),"Analytical 360, PSI Labs, SC Labs"
Albert Walker,0.6,0.15,0.05,0.0014,0.0082,0.0045,0.0147,0.0042,0.0051,0.0012,0.0,32,Lab-Aggregated (32 samples),Analytical 360
Dairy Queen,0.7,0.14,0.1,0.0034,0.0096,0.0075,0.0081,0.003,0.0036,0.0004,0.0,31,Lab-Aggregated (31 samples),Analytical 360
Lemon OG,1.8,0.12,0.07,0.003,0.0028,0.0081,0.0049,0.0042,0.007,0.0004,0.0002,31,Lab-Aggregated (31 samples),"Analytical 360, PSI Labs, SC Labs"
True OG,4.6,0.18,0.18,0.0038,0.0018,0.0072,0.0026,0.0047,0.0095,0.0014,0.0,31,Lab-Aggregated (31 samples),"Analytical 360, SC Labs"
Fire OG,5.7,0.08,0.06,0.0047,0.0038,0.0061,0.0046,0.0031,0.0065,0.0002,0.0001,31,Lab-Aggregated (31 samples),"Analytical 360, PSI Labs, SC Labs"
BHO Dutch Treat,5.0,0.44,0.4,0.0022,0.02,0.0113,0.0826,0.0071,0.0069,0.0044,0.0,31,Lab-Aggregated (31 samples),Analytical 360
Maui Wowie,0.7,0.14,0.07,0.006,0.007,0.0055,0.0206,0.0044,0.0091,0.0023,0.0,30,Lab-Aggregated (30 samples),Analytical 360
Blue Magoo,0.9,0.2,0.11,0.0032,0.0008,0.0039,0.0076,0.0068,0.0089,0.0004,0.0,30,Lab-Aggregated (30 samples),Analytical 360
Royal Kush,2.0,0.12,0.08,0.009,0.0004,0.0031,0.0034,0.0058,0.0088,0.0,0.0017,28,Lab-Aggregated (28 samples),"Analytical 360, SC Labs"
Blue City Diesel,1.0,0.16,0.11,0.0045,0.0016,0.0062,0.0076,0.0047,0.008,0.0004,0.0004,28,Lab-Aggregated (28 samples),Analytical 360
Granddaddy Purple,5.3,0.11,0.37,0.0317,0.0025,0.0112,0.0133,0.0128,0.0081,0.0008,0.0145,28,Lab-Aggregated (28 samples),"Analytical 360, PSI Labs, SC Labs"
Hindu Kush,5.4,0.15,0.06,0.002,0.0029,0.0054,0.0047,0.0033,0.0112,0.0007,0.0,27,Lab-Aggregated (27 samples),"Analytical 360, PSI Labs, SC Labs"
Jilly Bean,1.2,0.09,0.07,0.0047,0.0008,0.0022,0.0042,0.0011,0.0032,0.0008,0.0004,27,Lab-Aggregated (27 samples),"Analytical 360, PSI Labs, SC Labs"
Querkle,0.6,0.12,0.07,0.0056,0.0034,0.0047,0.005,0.004,0.0041,0.0008,0.0,27,Lab-Aggregated (27 samples),Analytical 360
Black Jack,1.0,0.06,0.05,0.0032,0.0013,0.005,0.0059,0.0018,0.0038,0.0035,0.0019,27,Lab-Aggregated (27 samples),"Analytical 360, SC Labs"
Pineapple,1.4,0.14,0.05,0.0032,0.0034,0.0058,0.0108,0.0029,0.0055,0.0009,0.0018,26,Lab-Aggregated (26 samples),"Analytical 360, SC Labs"
Tangie,20.8,0.08,0.46,0.0096,0.0382,0.0072,0.0052,0.0112,0.0028,0.0018,0.0001,25,Lab-Aggregated (25 samples),"Analytical 360, PSI Labs, SC Labs"
Animal Cookies,0.9,0.08,0.04,0.0015,0.0016,0.0067,0.0006,0.0062,0.0077,0.0,0.0,25,Lab-Aggregated (25 samples),"Analytical 360, SC Labs"
