strain_name,thc_percent,cbd_percent,cbn_percent,cannabinoid_source,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,terpene_source,primary_effects,medical_uses,effects_source,strain_type,type_source,data_quality,sample_count,lab_sources,manual_source
Northern Lights,16.0,0.1,0.3,Manual (Mendeley Dataset),0.005,0.0009,0.0056,0.0111,0.0036,0.0068,0.0006,0.0007,"Lab-Verified (60 samples from Analytical 360, PSI Labs, SC Labs)","Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Manual (Mendeley Dataset),Indica,Manual (Mendeley Dataset),Hybrid - Lab terpenes + Manual metadata,60,"Analytical 360, PSI Labs, SC Labs",Mendeley Dataset
ATF,2.7,0.13,0.19,Lab-Verified (56 samples),0.003,0.0004,0.0064,0.0086,0.0034,0.0092,0.0011,0.0002,Lab-Verified (56 samples from Analytical 360),Happiness,"Pain,Anxiety,Insomnia",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,56,Analytical 360,None
Grapefruit,2.3,0.14,0.14,Lab-Verified (56 samples),0.0039,0.0019,0.005,0.0052,0.0016,0.0077,0.0007,0.0,"Lab-Verified (56 samples from Analytical 360, SC Labs)",Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,56,"Analytical 360, SC Labs",None
Durban Poison,15.0,0.1,0.0,Manual (Strain Data Project),0.0024,0.0059,0.0056,0.0046,0.0022,0.0072,0.0104,0.0002,"Lab-Verified (54 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Focus,Euphoria","Fatigue,Depression,Stress,Focus",Manual (Strain Data Project),Sativa,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,54,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
Headband,17.0,0.1,0.0,Manual (Terpene Parser),0.0092,0.0072,0.0126,0.0053,0.0042,0.0106,0.001,0.0001,"Lab-Verified (53 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Euphoria,Creativity","Pain,Stress,Depression,Anxiety",Manual (Terpene Parser),Hybrid,Manual (Terpene Parser),Hybrid - Lab terpenes + Manual metadata,53,"Analytical 360, PSI Labs, SC Labs",Terpene Parser
Lavender,2.1,0.13,0.15,Lab-Verified (53 samples),0.0035,0.0032,0.0044,0.0067,0.0051,0.0053,0.0012,0.0006,"Lab-Verified (53 samples from Analytical 360, PSI Labs, SC Labs)",Focus,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,53,"Analytical 360, PSI Labs, SC Labs",None
Plushberry,2.3,0.1,0.07,Lab-Verified (53 samples),0.0056,0.0024,0.0051,0.0112,0.0049,0.0029,0.0011,0.0,"Lab-Verified (53 samples from Analytical 360, PSI Labs)",Sedation,"Anxiety,Stress",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,53,"Analytical 360, PSI Labs",None
Blue Cheese,0.8,0.16,0.06,Lab-Verified (52 samples),0.0047,0.0042,0.0049,0.0116,0.005,0.0057,0.0008,0.0002,"Lab-Verified (52 samples from Analytical 360, PSI Labs, SC Labs)","Sedation,Creativity","Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,52,"Analytical 360, PSI Labs, SC Labs",None
Remedy,1.3,2.55,0.15,Lab-Verified (52 samples),0.0032,0.0003,0.0021,0.0065,0.0017,0.0006,0.0002,0.0,Lab-Verified (52 samples from Analytical 360),Happiness,"Inflammation,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,52,Analytical 360,None
Ace of Spades,0.8,0.11,0.08,Lab-Verified (49 samples),0.0059,0.0035,0.0045,0.0105,0.0046,0.0048,0.0014,0.0,"Lab-Verified (49 samples from Analytical 360, PSI Labs)",Sedation,"Anxiety,Stress",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,49,"Analytical 360, PSI Labs",None
God Bud,0.7,0.11,0.13,Lab-Verified (49 samples),0.0029,0.0016,0.0037,0.0127,0.0031,0.0035,0.0005,0.0,Lab-Verified (49 samples from Analytical 360),Sedation,"Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,49,Analytical 360,None
Purple Arrow,0.9,0.15,0.19,Lab-Verified (49 samples),0.0025,0.0001,0.0089,0.0087,0.005,0.0026,0.0009,0.0,Lab-Verified (49 samples from Analytical 360),Happiness,"Pain,Anxiety,Insomnia,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,49,Analytical 360,None
The White,2.4,0.14,0.06,Lab-Verified (49 samples),0.0023,0.0011,0.006,0.0025,0.0056,0.0063,0.0005,0.0,"Lab-Verified (49 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,49,"Analytical 360, PSI Labs, SC Labs",None
