strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source,cbg_percent,thcv_percent,cbc_percent,cbdv_percent,sample_count
Platinum Girl Scout Cookies,1.4,0.09,0.16,0.0021,0.0013,0.0076,0.014,0.0061,0.0129,0.0002,0.0,Sedation,"Pain,Anxiety,Insomnia,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,48,"Lab-Verified: 48 samples from Analytical 360, PSI Labs, SC Labs",0.5860869565217393,0.105,0.10446153846153847,0.0,78
BHO Blue Dream,6.4,0.49,0.21,0.0029,0.0049,0.017,0.0427,0.0141,0.0085,0.0021,0.0,"Sedation,Focus,Creativity","Pain,Anxiety,Insomnia,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,47,Lab-Verified: 47 samples from Analytical 360,0.5100000000000001,0.0,0.3364444444444445,0.0,119
Bubble Gum,2.8,0.12,0.09,0.0075,0.0029,0.0055,0.0085,0.004,0.0095,0.0003,0.0002,Relaxation,"Pain,Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,46,"Lab-Verified: 46 samples from Analytical 360, PSI Labs, SC Labs",0.6505263157894735,0.04,0.5101923076923077,0.0,83
Blackberry,1.1,0.14,0.08,0.0041,0.0002,0.0052,0.0072,0.0035,0.0057,0.0,0.0,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,44,"Lab-Verified: 44 samples from Analytical 360, PSI Labs",0.6681739130434783,0.23307692307692307,0.28059602649006615,0.0,327
Romulan,0.8,0.12,0.16,0.0047,0.0002,0.0053,0.0084,0.0026,0.012,0.0009,0.0,Happiness,"Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,44,"Lab-Verified: 44 samples from Analytical 360, PSI Labs",0.671875,0.3975,0.28911764705882353,0.0,122
White Rhino,0.9,0.14,0.16,0.0047,0.0043,0.0043,0.0092,0.0023,0.0066,0.0015,0.0,Creativity,"Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,43,Lab-Verified: 43 samples from Analytical 360,0.225,0.0,0.20652173913043476,0.0,67
Grand Daddy Purple,3.7,0.1,0.15,0.0188,0.0028,0.0088,0.0068,0.0135,0.0076,0.0002,0.0076,"Relaxation,Sedation","Pain,Insomnia,Inflammation",Indica,Lab-Only - All data from laboratory testing,42,"Lab-Verified: 42 samples from Analytical 360, PSI Labs, SC Labs",0.5666666666666667,0.14,0.21204545454545454,0.0,78
Jack the Ripper,1.3,0.14,0.1,0.0019,0.0066,0.0038,0.009,0.0033,0.0041,0.0038,0.0004,"Euphoria,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,42,"Lab-Verified: 42 samples from Analytical 360, SC Labs",0.5064285714285715,0.03,0.1318181818181818,0.0,73
Strawberry Cough,15.0,0.1,0.0,0.0246,0.0032,0.0059,0.0117,0.0113,0.0041,0.0012,0.0259,"Energy,Euphoria,Focus","Stress,Depression,Fatigue,Anxiety",Sativa,Hybrid - Lab terpenes + Manual metadata,42,Hybrid: Lab terpenes (42 samples) + Manual metadata,0.9681818181818181,0.168,0.3706122448979592,0.0,80
Black Cherry Soda,0.6,0.14,0.16,0.0021,0.0012,0.0046,0.0041,0.0016,0.0033,0.0007,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,41,Lab-Verified: 41 samples from Analytical 360,0.46625000000000005,0.0,0.19391304347826083,0.0,69
Critical Mass,1.5,0.77,0.09,0.0035,0.0,0.0043,0.0076,0.0027,0.0074,0.0005,0.0,Happiness,"Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,41,Lab-Verified: 41 samples from Analytical 360,0.3784615384615385,0.04777777777777778,0.21650793650793645,0.0,84
XJ-13,18.0,0.1,0.0,0.0013,0.0082,0.0054,0.0087,0.001,0.004,0.0039,0.0012,"Energy,Focus,Euphoria","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,41,Hybrid: Lab terpenes (41 samples) + Manual metadata,0.24050000000000002,0.01,0.11021276595744682,0.0,72
Agent Orange,3.5,0.09,0.08,0.0052,0.0008,0.0021,0.0018,0.0011,0.0027,0.0007,0.0,Happiness,Stress,Indica,Lab-Only - All data from laboratory testing,40,"Lab-Verified: 40 samples from Analytical 360, PSI Labs",0.3458974358974359,0.07666666666666667,0.2377777777777778,0.0,84
GDP,4.4,0.11,0.19,0.0056,0.0012,0.0041,0.0079,0.0065,0.0052,0.0001,0.0009,Happiness,"Anxiety,Stress",Indica,Lab-Only - All data from laboratory testing,40,"Lab-Verified: 40 samples from Analytical 360, SC Labs",0.5756140350877194,0.3406666666666666,0.3916867469879518,0.02,135
ACDC,6.0,14.0,0.0,0.0219,0.002,0.004,0.0,0.0185,0.0023,0.0015,0.0,"Relaxation,Clarity,Focus","Pain,Anxiety,Inflammation,Seizures",Sativa,Hybrid - Lab terpenes + Manual metadata,39,Hybrid: Lab terpenes (39 samples) + Manual metadata,0.7588372093023257,0.21333333333333335,0.7061290322580646,0.24833333333333338,103
